,price,unit_price,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,house_type,area
85,555,单价42970元/平米,当代高邸  , 3室2厅 , 129.16平米 , 南 , 精装 , 无电梯,低楼层(共6层)2003年建板楼  ,  上大
86,318,单价40066元/平米,新城金郡  , 2室2厅 , 79.37平米 , 南 , 精装 , 有电梯,中楼层(共11层)2011年建板楼  ,  嘉定新城
87,345,单价43671元/平米,宝虹水岸景苑  , 2室1厅 , 79平米 , 南 , 精装 , 有电梯,中楼层(共18层)2011年建板楼  ,  杨行
88,310,单价51088元/平米,三门路358弄  , 2室1厅 , 60.68平米 , 南 , 毛坯 , 有电梯,高楼层(共7层)1994年建板楼  ,  五角场
89,600,单价78844元/平米,明珠苑(浦东)  , 2室2厅 , 76.1平米 , 南 , 简装 , 无电梯,高楼层(共6层)1998年建板楼  ,  洋泾
90,378,单价60326元/平米,龙南三四村  , 2室1厅 , 62.66平米 , 南 , 毛坯 , 无电梯,高楼层(共6层)1993年建板楼  ,  龙华
91,330,单价51806元/平米,凌兆新村  , 2室1厅 , 63.7平米 , 南 , 简装 , 无电梯,中楼层(共6层)1995年建板楼  ,  三林
92,335,单价53175元/平米,翠竹苑  , 2室1厅 , 63平米 , 南 , 简装 , 无电梯,低楼层(共6层)1997年建板楼  ,  三林
93,500,单价51744元/平米,连城新苑  , 2室2厅 , 96.63平米 , 南 , 精装 , 有电梯,低楼层(共11层)2006年建板楼  ,  金桥
94,460,单价55223元/平米,桂林苑  , 2室2厅 , 83.3平米 , 南 , 简装 , 无电梯,高楼层(共6层)1995年建板楼  ,  漕河泾
95,2750,单价113506元/平米,华丽家族古北花园  , 3室2厅 , 242.28平米 , 南 , 精装 , 有电梯,高楼层(共16层)2005年建板楼  ,  古北
96,378,单价34679元/平米,上海康城  , 2室2厅 , 109平米 , 南 , 简装 , 有电梯,低楼层(共15层)2006年建板楼  ,  莘庄
97,516,单价54089元/平米,连城新苑  , 2室2厅 , 95.4平米 , 南 , 精装 , 有电梯,中楼层(共11层)2006年建板楼  ,  金桥
98,440,单价43913元/平米,浦江世博家园十五街坊  , 3室2厅 , 100.2平米 , 南 北 , 精装 , 有电梯,中楼层(共11层)2006年建板楼  ,  浦江
99,305,单价34746元/平米,荣盛名邸(公寓)  , 2室2厅 , 87.78平米 , 南 , 精装 , 有电梯,低楼层(共18层)2012年建板楼  ,  莘闵别墅
100,665,单价68052元/平米,阳光花城  , 2室2厅 , 97.72平米 , 南 , 精装 , 有电梯,低楼层(共18层)2009年建板楼  ,  张江
101,368,单价37872元/平米,知雅汇(公寓)  , 2室2厅 , 97.17平米 , 南 , 毛坯 , 有电梯,中楼层(共12层)2006年建板楼  ,  九亭
102,435,单价56671元/平米,和源名城  , 2室1厅 , 76.76平米 , 南 , 精装 , 有电梯,中楼层(共33层)2011年建板楼  ,  彭浦
103,296,单价57700元/平米,培花久远公寓  , 1室1厅 , 51.3平米 , 南 , 精装 , 有电梯,低楼层(共7层)1997年建板楼  ,  北蔡
104,295,单价39297元/平米,菊泉新城(菊盛路50弄)  , 2室2厅 , 75.07平米 , 南 北 , 毛坯 , 无电梯,中楼层(共5层)2005年建板楼  ,  顾村
105,800,单价64000元/平米,莱茵半岛  , 3室2厅 , 125平米 , 南 , 简装 , 有电梯,高楼层(共8层)2002年建板楼  ,  中原
106,1080,单价97386元/平米,曼克顿豪庭  , 2室2厅 , 110.9平米 , 南 , 精装 , 有电梯,低楼层(共35层)2002年建板楼  ,  江宁路
107,440,单价44369元/平米,金地格林世界(卢尔公寓)  , 2室2厅 , 99.17平米 , 南 , 简装 , 有电梯,中楼层(共18层)2006年建板楼  ,  南翔
108,1050,单价84000元/平米,今日丽园  , 2室2厅 , 125平米 , 暂无数据 , 精装 , 有电梯,中楼层(共28层)2003年建板楼  ,  新华路
109,410,单价41323元/平米,万科琥珀郡园  , 3室2厅 , 99.22平米 , 南 , 精装 , 有电梯,中楼层(共8层)2012年建板楼  ,  罗店
110,1600,单价88889元/平米,泰宝华庭(公寓)  , 4室2厅 , 180平米 , 南 , 精装 , 无电梯,高楼层(共6层)2011年建板楼  ,  新江湾城
111,1080,单价70350元/平米,太阳都市花园  , 3室2厅 , 153.52平米 , 东南 , 精装 , 有电梯,中楼层(共33层)1999年建塔楼  ,  豫园
112,192,单价24472元/平米,贝港二区  , 2室1厅 , 78.46平米 , 南 , 简装 , 无电梯,中楼层(共5层)1996年建板楼  ,  南桥
113,450,单价56963元/平米,伟业金锦苑三村  , 2室2厅 , 79平米 , 南 , 简装 , 无电梯,低楼层(共6层)2003年建板楼  ,  金桥
114,220,单价34921元/平米,宝钢九村  , 2室1厅 , 63平米 , 南 , 简装 , 有电梯,高楼层(共13层)1988年建板楼  ,  淞宝
115,308,单价36032元/平米,丰翔新城  , 2室2厅 , 85.48平米 , 南 , 精装 , 有电梯,低楼层(共31层)2009年建板楼  ,  上大
116,566,单价38386元/平米,嘉宝紫提湾(公寓)  , 4室2厅 , 147.45平米 , 南 北 , 毛坯 , 有电梯,中楼层(共25层)2012年建板楼  ,  嘉定新城
